layer;Depositie - nox_Landbouw-Mestaanwending;Depositie - nox_Binnenvaart;Depositie - nox_Landbouw-Stallen Pluimvee;Depositie - nox_Zeescheepvaart;Depositie - nox_Landbouw-Glastuinbouw;Depositie - nox_Overige sectoren;Depositie - nox_Landbouw-Stallen Rundvee;Depositie - nox_Vliegverkeer en railverkeer;Depositie - nox_Landbouw-Beweiding;Depositie - nox_Landbouw-Stallen Varkens;Depositie - nox_Landbouw-Mestbe- en verwerking;Depositie - nox_Industrie en afvalverwerking;Depositie - nox_Mobiele werktuigen;Depositie - nox_Energie;Depositie - nox_Landbouw-Overige landbouw;Depositie - nox_Visserij;Depositie - nox_Wegverkeer
label;;;;;;;;;;;;;;;;;
Gelderland;268619.808;151924.9736284;2904.293465;0.4685252479;4831.894439;156657.4947;25606.1981;22538.680886233;24865.8769;3566.159434;10900.31467;50367.4639;169629.373;2857.929703;49706.083;;727123.673
Noord-Brabant;162511.5725;108822.7103536;3492.254024;8908.6620762095;16600.30548;215065.1627;19560.44808;10001.8206534597;13011.7631;9513.07329;28815.039819999998;87250.20781;179897.446;23139.544529;60330.9081;349.6827962609;810892.148
Limburg;56879.9813;27505.69912;2458.891782;;9609.8316266;75315.537;4998.1509;8954.399561;4451.79534;3722.2548205;32276.97096708;86176.1578;60771.146;12413.703318;36514.9049;;279228.774
Zeeland;68256.5948;54298.24354;206.54408655;160795.93115;2296.67794061;25693.4849;1616.814633;196.04455632;2205.185057;159.4358427;488.575422;67163.844653;38968.3769;11300.4923712;19088.06409;4434.443396;83053.7361
Fryslân;240129.44112;22096.438686;772.64679889;8990.48138587414;2114.2953542;65358.78415;20843.842116;5767.955442744;25575.979405;195.701039035;3516.7992804;6431.4744978;79381.35917;414.97705113;12995.02874826;8389.67845827319;160392.20017
Flevoland;67241.5018;29907.7513;472.2585265;1097.21422821;1370.610613;26478.4251;4113.1331;392.073341425;2412.89288;169.3210357;1374.041329;3403.79998;49765.3947;10672.528396;24614.0354;32.99997447;155178.788
Groningen;155546.1619;9276.301143;652.3275826;4208.319350915;494.3338223;62814.83052;8451.50354;10377.69901135;10566.2955;337.37214019;1658.5758361;22352.235234;46024.5845;20172.079215;14072.59825;664.9061856337;123266.55775
Drenthe;121704.9483;3454.01503;1039.68202;0.01992758;1163.8366112;61846.5428;10335.32492;1119.765321597;10614.06367;558.383593;1880.64914;12307.93233;57552.9527;363.892519;17258.9328;0.000195212;176911.574
Zuid-Holland;136766.6516;164354.97019;100.6504488325;171466.742392873;46065.73563;156147.3625;6975.093789;28041.05206;14773.026764;183.06677743;905.1073616;168869.57972;198216.041;62422.3861685;10430.0737;5589.0678448838;637373.598
Utrecht;110858.21;70114.2958;555.743656;1042.4176140403;2525.058004;103220.922;8431.3661;7886.66759;15048.0721;461.71121;3134.78694;14457.5229;96150.771;11791.065795;7556.2477;18.028258039;403453.22
Noord-Holland;152807.4977;39105.51579;149.65055128;61128.415516247864;7492.766412375;118261.93159;7205.77639;75887.44361949;16924.6792;50.5460751873;642.6551242;132184.208279;134089.8144;27338.1908519;13243.83684;7717.3887626743;500790.70892
Overijssel;194834.981;13720.96888022;1582.240723;;1453.716308;90878.4811;22626.6475;2574.0096514675;19130.7494;2661.608335;8491.96181;22785.99389;97095.693;916.077819;28735.1534;;307929.556
