layer;Emission - nh3_Mobiele werktuigen;Emission - nh3_Vliegverkeer en railverkeer;Emission - nh3_Industrie en afvalverwerking;Emission - nh3_Overige sectoren;Emission - nh3_Landbouw-Mestaanwending;Emission - nh3_Binnenvaart;Emission - nh3_Energie;Emission - nh3_Wegverkeer;Emission - nh3_Landbouw-Mestopslag;Emission - nh3_Landbouw-Stallen Varkens;Emission - nh3_Landbouw-Beweiding;Emission - nh3_Zeescheepvaart;Emission - nh3_Landbouw-Stallen Pluimvee;Emission - nh3_Landbouw-Stallen Rundvee;Emission - nh3_Landbouw-Mestbe- en verwerking;Emission - nh3_Visserij;Emission - nh3_Landbouw-Overige landbouw
provincie_naam;;;;;;;;;;;;;;;;;
Gelderland;14228.0;70.1;232982.6;1536224.7;5699211.2;1353.0;2519.0;471231.3;560970.4;2053865.4;195784.1;;2171588.7;5504047.4;152237.0;;267526.2
Noord-Brabant;16171.0;10.3;406864.5;1661733.9;4793133.9;627.3;4818.0;543622.7;587622.7;4840824.8;126030.6;;2608768.7;4260973.5;463260.5;;530836.2
Limburg;6473.9;18.5;489673.39999999997;802884.8;1750037.7;248.5;499.2;207674.4;413774.9;1866494.8;49497.5;;1423088.6;944133.0;120301.5;;316416.5
Zeeland;5238.5;0.5;341225.10000000003;398337.1;3335433.9;651.6;35.0;80808.2;52551.0;214655.9;30399.9;1632.8;193446.4;407340.3;14969.5;35.300000000000004;684492.7
Fryslân;8829.8;19.400000000000002;136908.5;689793.8;5928001.9;124.4;248.1;132510.9;204856.4;108330.90000000001;243243.0;71.8;588570.8;4961333.4;78541.4;72.7;168824.9
Flevoland;4600.2;;104420.0;246948.6;2195284.4;230.5;56.4;93862.4;80186.6;94927.5;14549.2;;283003.8;595477.7;15687.0;;521662.2
Groningen;4696.6;35.6;114007.8;498382.8;4000949.3;69.7;5829.7;94498.4;109289.1;241613.0;91655.0;85.5;446974.5;1797290.2;32621.6;4.4;664417.3
Drenthe;5546.7;;97881.40000000001;579151.2;2713169.3;0.2;264.9;112506.9;142520.9;279258.8;80264.6;;611132.7;1889447.5;34288.6;;456219.1
Continentaal Plat;;;;;;;;;;;;10757.8;;;;461.5;
Zuid-Holland;21991.9;54.3;191245.3;1697323.6;3013553.9;1342.5;4813.7;519492.9;63563.9;95999.7;124408.8;2821.7;39921.4;1490386.9;15507.1;38.0;293599.7
Utrecht;7859.9;;27747.7;722781.9;1855057.0;439.5;389.8;288897.5;116431.0;261588.3;89657.0;;302752.8;1621999.9;24836.7;;18924.9
Noord-Holland;12819.1;59.9;500126.8;1395020.6;2903683.0;267.0;7106.0;409665.5;59835.8;28106.7;143922.8;886.1;68968.3;1441045.1;12724.4;62.7;245606.5
Overijssel;9033.1;4.9;194596.6;839224.1;4488328.7;54.9;1299.6;202105.7;329318.9;1586254.9;151774.1;;1236094.4;4732918.7;122691.8;;128278.0
