layer;"nox_Landbouw-Overige landbouw
";nox_Landbouw-Stallen Pluimvee;nox_Landbouw-Mestaanwending;nox_Landbouw-Stallen Rundvee;"nox_Overige sectoren
";nox_Vliegverkeer en railverkeer;"nox_Zeescheepvaart
";nox_Landbouw-Beweiding;nox_Industrie en afvalverwerking;nox_Landbouw-Mestbe- en verwerking;nox_Mobiele werktuigen;nox_Visserij;nox_Wegverkeer;nox_Energie;nox_Landbouw-Glastuinbouw;"nox_Landbouw-Stallen Varkens
"
provincie_naam;;;;;;;;;;;;;;;;
Gelderland;777427.7;35030.6;2895466.7;305136.8;1599064.1;578964.7;;250066.1;1735637.2;126988.6;3157956.7;;8608078.8;50742.1;175445.8;39285.8
Noord-Brabant;942167.7;42610.6;2054822.1;254874.4;1828567.8;169527.4;8.600000000000001;159785.9;3547356.8;386425.0;3617927.7;;10165994.3;1153719.7;533876.0;121394.9
Limburg;605995.1;31443.1;731448.2;62156.2;889210.1;255421.3;;53973.9;3721376.0;100352.1;1456932.5;;3960422.4;689388.0;357770.5;44200.5
Zeeland;420483.5;3580.3;1241871.5;28103.3;360023.7;4689.5;10486496.3;29395.6;3304158.5;12486.7;1065331.8;190585.1;1380261.1;691701.7;91030.0;2844.7
Fryslân;209363.7;11242.1;3264756.7;308227.3;634190.3;152153.0;409793.0;343673.9;269522.5;65514.7;1799008.6;367157.0;2323344.4;13951.6;66421.4;2437.4
Flevoland;433072.0;5854.2;868773.9;36481.8;221666.9;1860.3;;19290.2;60423.7;13084.5;953623.8;;1666519.8;443921.4;44911.4;2225.9
Groningen;241311.9;8770.8;1880668.2;111331.8;738990.5;283741.0;401543.0;122045.5;1150326.1;27210.5;1008527.9;31433.8;1735081.0;2328140.8000000003;17156.2;5159.8
Drenthe;257957.6;12530.7;1347524.9;117536.7;502416.3;3155.2;;111045.3;431869.0;28602.4;1160650.7;;2068344.1;9328.1;52096.700000000004;6217.1
Continentaal Plat;;;;;;2197.7;76739335.4;;;;0.1;2238211.3;;2259456.2;;
Zuid-Holland;158863.4;770.9;1448978.9;95825.5;1937323.5;497856.9;11085454.6;154027.6;6738499.4;12935.9;4880428.6;206109.4;9445472.0;3390101.1;1744701.0;1949.7
Utrecht;83141.9;4755.6;1022796.2;100017.0;820568.7;6500.3;;130291.5;584912.2000000001;20717.8;1822453.7;;4847885.5;561381.5;54231.6;4736.7
Noord-Holland;240688.5;1915.2;1485081.8;92842.4;1553671.5;2261887.3;3168930.8;172926.1;6763495.600000001;10614.9;3079930.6;323528.0;7169358.2;1595322.4;283458.9;492.0
Overijssel;387395.5;19941.6;2316165.6;285852.4;868401.8;42727.3;;236114.6;768082.8;102342.6;1946632.3;;3900056.3;32360.1;49913.9;32956.6
